"","protein","frequency"
"25","ABL2",2
"30","ABRAXAS2",2
"43","ACBD6",2
"47","ACHE",2
"60","ACRV1",2
"71","ACVRL1",2
"78","ADAM10",2
"81","ADAM15",2
"82","ADAM17",2
"101","ADAMTSL1",2
"105","ADCYAP1",4
"113","ADGRE5",2
"131","ADM",2
"142","AFM",2
"151","AGO1",2
"155","AGR3",2
"163","AHSG",2
"180","AKR1B1",2
"189","AKT1",2
"191","AKT2",2
"216","ALPG",2
"217","ALPI",2
"222","AMIGO1",2
"223","AMIGO2",2
"232","AMY2B",2
"237","ANGPT2",2
"239","ANGPTL1",2
"240","ANGPTL3",2
"247","ANKRD1",2
"269","ANXA2",2
"274","ANXA7",2
"277","AOC1",2
"288","APBB1",2
"290","APBB2",2
"291","APBB3",2
"298","APLP2",2
"303","APOA5",2
"310","APOD",2
"311","APOE",4
"314","APOL1",3
"317","APOM",2
"337","ARHGAP1",2
"376","ARMC5",2
"388","ARSA",2
"391","ART3",2
"428","ATF5",2
"452","ATP5PB",2
"465","AXIN2",2
"468","AZU1",2
"469","B2M",2
"501","BAMBI",3
"512","BCAR3",2
"516","BCHE",2
"522","BCL2L10",2
"525","BCL2L2",2
"526","BCL6",2
"529","BDNF",2
"531","BECN1",2
"538","BGLAP",2
"539","BGN",2
"548","BIRC2",2
"551","BIRC7",2
"569","BMP3",2
"570","BMP4",2
"572","BMP6",2
"575","BMPER",2
"592","BPIFA2",2
"593","BPIFB1",2
"600","BRD2",2
"603","BRF1",2
"613","BTC",2
"614","BTD",2
"618","BTK",2
"625","BTN3A3",2
"642","C17orf78",2
"663","C1QL2",2
"668","C1QTNF4",3
"670","C1QTNF9",2
"673","C1S",2
"683","C3",6
"685","C4B|C4A",3
"689","C5",2
"696","C7",2
"699","C9",2
"701","CA10",2
"707","CA4",2
"710","CA6",2
"746","CAMP",2
"772","CASP10",3
"811","CCDC134",2
"829","CCL1",2
"833","CCL15",3
"841","CCL22",2
"842","CCL23",2
"844","CCL25",2
"851","CCL5",2
"852","CCL7",2
"853","CCL8",2
"858","CCN4",2
"869","CCNH",2
"877","CD14",2
"887","CD200R1",2
"890","CD209",3
"892","CD226",2
"894","CD247",2
"901","CD300C",2
"902","CD300E",2
"905","CD300LG",2
"911","CD38",2
"912","CD3E",2
"920","CD5",2
"923","CD59",2
"927","CD68",2
"930","CD70",2
"931","CD72",2
"932","CD74",2
"933","CD79A",2
"935","CD80",2
"936","CD81",2
"939","CD84",2
"940","CD86",2
"941","CD8A",2
"945","CD93",2
"957","CDCP1",3
"958","CDH1",3
"960","CDH11",3
"961","CDH12",2
"963","CDH15",2
"971","CDH6",2
"982","CDK2AP2",2
"993","CDNF",2
"1008","CEBPB",2
"1026","CERT1",2
"1027","CES1",2
"1028","CES3",2
"1039","CFD",2
"1042","CFHR1",2
"1046","CFHR5",3
"1067","CHEK2",2
"1069","CHGA",2
"1075","CHIT1",2
"1076","CHKB",2
"1077","CHL1",2
"1097","CHST15",2
"1098","CHST2",2
"1128","CLEC11A",2
"1140","CLEC4G",2
"1147","CLIC2",2
"1149","CLIC4",2
"1153","CLMP",2
"1154","CLN5",2
"1175","CMPK1",2
"1178","CNDP1",2
"1193","CNTFR",2
"1213","COL1A1",2
"1218","COL2A1",2
"1221","COL6A1",2
"1223","COL6A3",2
"1226","COL9A1",2
"1230","COLEC12",2
"1265","CPA1",2
"1268","CPB1",2
"1271","CPE",2
"1275","CPM",2
"1278","CPNE1",2
"1285","CPTP",2
"1307","CRH",2
"1309","CRIM1",3
"1320","CRLF2",2
"1347","CSF1",2
"1348","CSF1R",2
"1351","CSF2RB",2
"1352","CSF3",2
"1364","CSNK1G2",2
"1365","CSNK2A1",2
"1378","CST5",2
"1379","CST6",2
"1380","CST7",2
"1385","CSTPP1",2
"1390","CTAG1B|CTAG1A",2
"1395","CTF1",2
"1397","CTHRC1",2
"1399","CTNNA1",2
"1402","CTNNB1",3
"1410","CTSB",2
"1411","CTSC",2
"1414","CTSF",2
"1416","CTSH",2
"1436","CXCL11",2
"1437","CXCL12",3
"1438","CXCL13",2
"1442","CXCL2",2
"1443","CXCL3",2
"1447","CXCL9",2
"1462","CYP3A4",2
"1474","DAG1",2
"1488","DBNL",2
"1520","DDR1",2
"1521","DDR2",2
"1537","DEFA1",2
"1539","DEFA5",2
"1593","DKK2",2
"1594","DKK3",2
"1595","DKK4",2
"1596","DKKL1",2
"1598","DLD",2
"1603","DLK1",3
"1605","DLL1",2
"1614","DMKN",2
"1626","DNAJB14",2
"1644","DNAJC4",2
"1649","DNER",2
"1661","DOK2",2
"1664","DPEP1",2
"1694","DSG2",2
"1695","DSG3",2
"1697","DSTN",2
"1700","DTNA",2
"1732","DYRK3",2
"1735","EBAG9",2
"1739","ECE1",2
"1748","EDA",2
"1759","EDN3",2
"1762","EEF1A1",3
"1770","EFCAB14",2
"1775","EFNA2",3
"1776","EFNA3",2
"1777","EFNA4",2
"1779","EFNB1",2
"1780","EFNB2",2
"1781","EFNB3",2
"1783","EGF",2
"1786","EGFR",2
"1803","EIF2A",2
"1813","EIF4A2",2
"1819","EIF4EBP2",2
"1830","ELAPOR1",2
"1852","EMILIN3",2
