"","unique_names","logFC","AveExpr","t","P.Value","adj.P.Val","B","genes"
"1","seq.10575.31",-0.0323011137354001,14.7096195529354,-5.13557404391436,9.19924653169525e-07,0.000124104649969259,3.950013466749,"PUF60"
"2","seq.10668.5",-0.0439958365172065,12.4879105824653,-5.12457359484473,9.66326632647148e-07,0.000125708741407758,3.90217572751945,"STX4"
"3","seq.10980.11",-0.0234670973457718,8.42856386911553,-6.29874166501999,3.59975080297698e-09,3.27802307496091e-06,9.37200811616466,"ACHE"
"4","seq.11161.5",-0.0255118599486184,11.4321088729408,-6.00254647218913,1.56773927030979e-08,9.51748382017237e-06,7.92749403962589,"SPART"
"5","seq.11211.7",-0.0401366469648027,14.4056465640776,-5.81588031310934,3.88477702077791e-08,1.38312630031735e-05,7.03831637744171,"TBCE"
"6","seq.11454.87",-0.0285205618344288,14.5467817496424,-5.89372499704681,2.66597671922299e-08,1.21385252497122e-05,7.40706870119046,"EIF3G"
"7","seq.11683.19",-0.0686405394180643,13.5520288912322,-6.20912671770783,5.64048168680836e-09,4.10909090883989e-06,8.93075957091084,"GGA3"
"8","seq.11955.1",-0.0686345954750472,11.6171269183564,-4.71977267847779,5.639314050819e-06,0.000444824000734262,2.19207618917809,"ARHGAP1"
"9","seq.12348.46",-0.0696899603393252,14.2604387267568,-5.57255168648791,1.23730240327754e-07,3.25135185476226e-05,5.90532300536541,"SARS2"
"10","seq.12449.16",-0.0475179227248285,11.5552036369087,-5.7319913492279,5.81033889982225e-08,1.84036169066109e-05,6.64430187376769,"PPIH"
"11","seq.12475.48",-0.0710446656482384,10.802495952877,-5.24567668612693,5.60130708186918e-07,9.17007812334288e-05,4.43265487425639,"CLIC5"
"12","seq.12621.55",-0.0415740313981822,13.9805222251911,-4.71561342491186,5.73966452560339e-06,0.000444824000734262,2.17502789070079,"PPP2R1A"
"13","seq.12637.7",-0.0266812285842289,15.6707393614782,-5.41499258698765,2.57954614264442e-07,5.21999823587906e-05,5.18819365159119,"CRAT"
"14","seq.12655.30",-0.0268495713422278,12.8905172561827,-4.77284499470329,4.49878703926249e-06,0.000385572512717967,2.41056878306686,"NAPB"
"15","seq.12659.13",-0.0238611500833432,16.3815162899402,-5.55575033584191,1.33892320717732e-07,3.25135185476226e-05,5.82822142527997,"OLA1"
"16","seq.12738.43",-0.0376813001648378,12.4268095465765,-5.41976018088071,2.52329637162205e-07,5.21999823587906e-05,5.20969715441713,"NISCH"
"17","seq.12993.21",-0.0362216786946883,13.1557726975764,-5.5653870304309,1.27967975930108e-07,3.25135185476226e-05,5.87242613012736,"NPLOC4"
"18","seq.13090.17",0.0308540558469574,14.0779926280447,4.8277925588877,3.55425407997944e-06,0.00033195821759808,2.63863463491321,"S100A6"
"19","seq.13097.11",-0.0181308037900424,9.22783810090651,-5.39051577605452,2.88816624345598e-07,5.39494643168637e-05,5.07799017125155,"BCL2L2"
"20","seq.13450.49",-0.0586318047080695,13.7420818696843,-5.81048600124707,3.9870490468997e-08,1.38312630031735e-05,7.01287419251717,"USP8"
"21","seq.13636.20",-0.0559902277755846,13.1040096454259,-4.91026130605035,2.4872948562835e-06,0.000255210465183455,2.98442375911547,"NAP1L1"
"22","seq.13644.30",-0.0507226329508624,14.1416975362569,-5.17318591509903,7.77079605225238e-07,0.000115531120899303,4.11410540845569,"HGS"
"23","seq.13973.62",-0.0251598472646455,13.9752454091448,-4.82920695317408,3.53267748499933e-06,0.00033195821759808,2.64452994120854,"TTL"
"24","seq.13993.20",-0.0671241485323969,15.5125762887486,-6.16440100996253,7.04875339256554e-09,4.66819713316727e-06,8.71188378220535,"EPB41L1"
"25","seq.14273.19",-0.0525224185121777,12.0489868771443,-4.6862757430913,6.4982006736174e-06,0.000483055019462273,2.05508696695052,"PREP"
"26","seq.14326.4",-0.0594862381871326,15.1969349287539,-5.11170123204853,1.02351973597435e-06,0.000128557608216778,3.8462868639267,"UBE2E1"
"27","seq.15627.83",-0.045365981174995,13.9546049985524,-5.96015313777288,1.92919601160424e-08,1.06371761384336e-05,7.72407704895457,"AKT1"
"28","seq.16583.8",-0.0434360608158881,12.7077490766022,-5.09874858064529,1.08438817829336e-06,0.000133894370828256,3.7901468441018,"NUDT2"
"29","seq.16885.49",-0.0169217254004729,17.0801488280319,-5.23835660757084,5.79030327623572e-07,9.17007812334288e-05,4.40035212149293,"MAPRE3"
"30","seq.17320.19",-0.0271508243857813,16.4247252059344,-5.00460543835482,1.64564075165143e-06,0.000183176285901685,3.38506883689362,"AASDHPPT"
"31","seq.17383.4",-0.0372135578145936,12.3637841680965,-4.89461817461985,2.66232966620022e-06,0.000269375994698175,2.91851291116913,"STARD5"
"32","seq.17450.51",-0.0252535818857788,16.3738408907597,-5.57645435420217,1.21479948524762e-07,3.25135185476226e-05,5.92325366030762,"HARS1"
"33","seq.17722.5",-0.0217307039843332,17.0487844337004,-5.28027387782542,4.78638426203542e-07,8.10902542998326e-05,4.58573835602397,"FKBP4"
"34","seq.17783.9",-0.0523751398209987,14.9723326410031,-4.80140497000224,3.98101085520943e-06,0.000358045235558033,2.52887605215234,"MMAB"
"35","seq.17816.58",-0.0478007878527938,13.4297563031235,-5.1665803871386,8.00498136237615e-07,0.00011663257844982,4.08522794012034,"NCALD"
"36","seq.17826.341",-0.0408036008308927,16.4763155163488,-6.41071505878626,2.04433527016135e-09,2.12756892044649e-06,9.92829393804454,"EEF1D"
"37","seq.18174.79",-0.0318410530893015,16.1654779399117,-7.23449814830574,2.75492604634166e-11,2.0069636247599e-07,14.1748542415531,"PDCD6IP"
"38","seq.18184.28",-0.0329180778016705,15.2426425816481,-5.08312731246521,1.16249062149031e-06,0.000141145736292615,3.72257077722544,"GMPS"
"39","seq.18327.6",-0.0192702540611824,12.1977501158529,-5.42115904917502,2.50702047221525e-07,5.21999823587906e-05,5.2160088855227,"SNX5"
"40","seq.18884.22",-0.0299255432364277,14.4861886719272,-4.72075149364978,5.61594602538702e-06,0.000444824000734262,2.19608982633491,"DNAJB4"
"41","seq.19110.6",-0.0229113698459001,10.8880206045902,-4.74154252283436,5.14114933418681e-06,0.000425605373858533,2.28148615919994,"MEMO1"
"42","seq.19135.5",-0.0227568939199288,13.5900349721736,-5.2853792264193,4.67636482873556e-07,8.10902542998326e-05,4.60838524084168,"NT5C3B"
"43","seq.19145.4",0.00507628720857089,8.61257005925102,4.87948897317112,2.84294658107146e-06,0.000283710491001447,2.85490931668634,"MREG"
"44","seq.19188.21",-0.0343831124622847,16.9929125623468,-5.32418660014534,3.91694852614865e-07,7.13374250324823e-05,4.78100836496793,"NAP1L4"
"45","seq.19270.26",-0.0289013478175942,16.1920922363816,-5.13920813802861,9.05077324300857e-07,0.000124104649969259,3.96583250190283,"YARS1"
"46","seq.19277.4",-0.0491170862473053,13.2496148546653,-5.44052308995,2.29197760677985e-07,5.0597142016337e-05,5.30348926188514,"TSTD1"
"47","seq.19333.4",-0.0238551183210645,14.7054036406915,-4.9125468595466,2.46267475948318e-06,0.000255210465183455,2.99406617953155,"HNRNPK"
