"","unique_names","logFC","AveExpr","t","P.Value","adj.P.Val","B","genes"
"1","seq.10086.39",-0.0321350450846503,10.5071828808591,-3.04234213318136,0.00265644203692887,0.318493800166819,-2.71216021439628,"CBS"
"2","seq.10980.11",-0.037719892624298,8.35304467133891,-3.15832648747521,0.00182802073956815,0.316646819257215,-2.36892845892456,"ACHE"
"3","seq.11067.13",-0.043222378198495,11.5724808814358,-3.10541292178155,0.00217075475715186,0.316646819257215,-2.52696344708328,"BGLAP"
"4","seq.11103.24",0.0442482830371082,8.14956558852637,3.38340255030022,0.000858584993404905,0.316646819257215,-1.66983474693026,"HSPB1"
"5","seq.11126.102",-0.108788206428585,11.1302468731085,-2.95917684570426,0.00344996937633773,0.323321415687789,-2.95105202617256,"TRIO"
"6","seq.11168.3",0.044356617968626,8.60327367490916,3.09644745529986,0.00223439431437053,0.316646819257215,-2.55349992463489,"MEGF10"
"7","seq.11441.11",0.0714902838831008,13.9274459329826,3.01611849013933,0.00288638103047338,0.323321415687789,-2.7881410452781,"PYGL"
"8","seq.11487.4",0.0331170661493412,10.9544603823254,3.2909784707709,0.00117665822927892,0.316646819257215,-1.96214090777222,"SPOCK1"
"9","seq.12463.7",0.0237083175805821,10.422582025231,2.89095802426413,0.0042572387382146,0.323321415687789,-3.14247360145366,"KLHL13"
"10","seq.12477.42",0.0939717771498185,13.7273817126977,3.07235232961444,0.00241406008626348,0.316646819257215,-2.62447197769884,"TSN"
"11","seq.12548.75",0.0410305385400944,9.05087454879164,3.53153070782945,0.000510956687655385,0.28633226688996,-1.18632716177407,"RRAGC"
"12","seq.12599.10",0.0351296487876414,10.8964115625315,3.19368871737488,0.00162767422627634,0.316646819257215,-2.26196500092569,"FERMT3"
"13","seq.12612.37",0.206627547144812,11.4741594871315,2.96070464714981,0.00343361520241835,0.323321415687789,-2.94671810496849,"PSMB1"
"14","seq.12627.97",0.0415334934750171,9.39853888515558,2.96393204654977,0.00339930133448699,0.323321415687789,-2.93755618320921,"ATG7"
"15","seq.12684.5",0.0965632658285615,12.9038774398006,2.98257863590227,0.00320713275006339,0.323321415687789,-2.88444326026509,"SCIN"
"16","seq.12781.2",-0.0266276355176474,9.23429066688549,-3.0365707631647,0.00270555001297112,0.318493800166819,-2.72893382689387,"TARBP2"
"17","seq.12808.103",0.0325163391936083,10.4436517706856,3.43308099575278,0.000722797273905755,0.316646819257215,-1.50973153131871,"CARHSP1"
"18","seq.12818.159",0.0203285321931497,10.3240417832628,3.05342049273651,0.00256446977847298,0.316646819257215,-2.67988121405534,"SLC14A2"
"19","seq.12990.39",-0.0133867048884597,7.32275117614714,-3.36400375366859,0.000917807041743375,0.316646819257215,-1.73178735624012,"MAP3K3"
"20","seq.13112.179",0.0474310454213944,10.6327843648057,2.88551343727527,0.00432858139744883,0.323321415687789,-3.15757410033176,"FSTL1"
"21","seq.13122.19",-0.0783822763427563,12.0022748381071,-2.91500411570833,0.00395482555327525,0.323321415687789,-3.07546873531294,"FLRT2"
"22","seq.13236.25",0.0195086532130901,9.54501186520475,3.56755993795266,0.000449203320504542,0.272703849156299,-1.06595097842151,"WNT3A"
"23","seq.13472.35",0.075524550804509,16.1760368743881,3.76240628458564,0.000219996178219302,0.228953165475373,-0.396402468266563,"HDHD2"
"24","seq.13477.65",-0.0352944194345624,10.9241660818353,-3.09343418701568,0.00225616715637507,0.316646819257215,-2.56240309215765,"LTB4R"
"25","seq.13516.46",0.0813552566518934,10.0171314429157,3.63006913556223,0.000358390955791491,0.261087811294101,-0.854551169383979,"EMC4"
"26","seq.13557.3",-0.0136257207950223,8.45445802438369,-2.97970707652225,0.00323606183947381,0.323321415687789,-2.89264248647026,"NECTIN3"
"27","seq.13947.371",-0.0705687843236024,11.2514444750054,-2.86904946051563,0.00455100986048337,0.323321415687789,-3.20307717687477,"NUDT12"
"28","seq.14099.20",0.132621380585615,9.79809767277387,2.88929459593879,0.00427892052586656,0.323321415687789,-3.1470898815534,"PSMA4"
"29","seq.15298.199",-0.0196957744825917,8.05740734060753,-3.07784377156379,0.00237197869826047,0.316646819257215,-2.60834137948451,"NETO1"
"30","seq.15331.47",-0.158494808364763,10.0849388655201,-3.21826670482432,0.00150063376638449,0.316646819257215,-2.18698751036491,"RBBP4"
"31","seq.15388.24",0.176978226311927,8.54410669185251,3.2485416055835,0.0013568012179061,0.316646819257215,-2.09391821879678,"FCGR3A"
"32","seq.15548.35",0.0335260179011775,12.7616215198972,2.97838032525987,0.00324950872431531,0.323321415687789,-2.89642834484847,"PHGDH"
"33","seq.16307.22",-0.0359535435858325,9.28001669512262,-3.12288680499127,0.00205150447427489,0.316646819257215,-2.47504292203799,"UNC5D"
"34","seq.16593.3",0.0243740199306174,13.1745869119666,3.21197958161779,0.00153222477175867,0.316646819257215,-2.20621639610458,"FADD"
"35","seq.17343.6",-0.057602162935591,10.5698749870642,-2.96986617232432,0.00333702896409724,0.323321415687789,-2.92068654227974,"SNPH"
"36","seq.17391.10",0.0751816997263233,10.1739466532166,3.20743200145908,0.00155545843460901,0.316646819257215,-2.22010380253471,"RBM17"
"37","seq.17760.128",-0.0737445231829989,11.7406946572163,-2.93460996895862,0.00372294036946637,0.323321415687789,-3.02045907421132,"WDR5"
"38","seq.17786.5",0.0384612061956333,11.5197083828855,3.11315282538272,0.00211716530083216,0.316646819257215,-2.50399836383689,"GGPS1"
"39","seq.18330.7",0.0826697475293824,11.8539766126646,3.81266871751724,0.000182139271873228,0.228953165475373,-0.218655754615138,"PGM2"
"40","seq.18339.207",0.0988580386178067,10.509934172356,3.22868853713532,0.00144959539752518,0.316646819257215,-2.15503805060025,"PSMB3"
"41","seq.18392.19",0.0487660565419585,14.525782549166,2.94108626586339,0.00364912241277751,0.323321415687789,-3.00221360614967,"MAT2B"
"42","seq.18891.98",0.0205565415705025,9.72790598824003,3.03386291458404,0.00272887762536453,0.318493800166819,-2.73679375704578,"GBP2"
"43","seq.18897.31",-0.0965021663725701,11.9118480048382,-2.87520804556263,0.00446661417758022,0.323321415687789,-3.18608419249724,"HDAC2"
"44","seq.19163.26",0.0623200441276574,11.1696292326067,3.33380326007533,0.00101764144573604,0.316646819257215,-1.82760223910125,"LRRC59"
"45","seq.19215.7",0.0478806731257053,10.9482899285881,3.07640119288986,0.00238296729017169,0.316646819257215,-2.61258136039101,"NDRG1"
"46","seq.19225.11",0.0406098224261985,9.62485371958062,3.58972310015452,0.000414777433496403,0.272703849156299,-0.991367155250493,"BLNK"
"47","seq.19438.68",0.113609117517885,11.4103773772632,2.93701057206285,0.00369541984040187,0.323321415687789,-3.01370023834544,"SYF2"
"48","seq.19788.6",0.0429514901237203,13.9457673364326,2.87526090677814,0.00446589600555194,0.323321415687789,-3.18593819060949,"MAT2A"
"49","seq.20435.41",0.108141968648529,9.62926963888179,3.85182902303292,0.000157012014224932,0.228953165475373,-0.0787551577735064,"EMC2"
"50","seq.20528.23",0.0207688691673833,9.7009890695195,3.07858249848636,0.00236636968578293,0.316646819257215,-2.60616943623373,"CD68"
"51","seq.20931.156",0.0523773380454486,11.436182403277,2.90970894068669,0.00401968065535824,0.323321415687789,-3.0902676737364,"AUH"
"52","seq.21119.1",0.0541545398329844,10.7014139856406,2.90079272523218,0.0041310874322124,0.323321415687789,-3.11513075460045,"CBR4"
"53","seq.21189.9",-0.0623022252506431,13.7584775670638,-3.2638050699492,0.00128924555957002,0.316646819257215,-2.0466984922144,"NUBP1"
"54","seq.21373.8",0.0190668144156656,10.9021648415534,2.88505390448283,0.0043346525365981,0.323321415687789,-3.15884740947044,"QTRT2"
"55","seq.21379.30",0.0257291404218318,12.7964979613334,2.92008410337201,0.00389350711927196,0.323321415687789,-3.06124795056685,"ETNK2"
"56","seq.2171.12",-0.0377193212501238,16.5165302917882,-3.67632104365969,0.00030265160648708,0.244979661473153,-0.696058062783269,"HCE001796"
"57","seq.21746.13",-0.0400463923100313,11.627087922861,-3.12563321609075,0.00203332184711472,0.316646819257215,-2.46685838793949,"USP10"
"58","seq.21751.6",-0.0343622280018985,9.64223190813186,-3.05770604811242,0.00252968493208597,0.316646819257215,-2.66736569395789,"WDR48|USP12"
"59","seq.22063.20",0.0396280865592345,9.85438939342458,4.12256158764687,5.45276999591338e-05,0.228953165475373,0.921888510998838,"CAPNS2"
"60","seq.22544.10",0.0331005316384993,14.7256555173603,3.36891661387391,0.000902458291730353,0.316646819257215,-1.71612759541398,"RAD51C"
"61","seq.22588.35",-0.0961661875572155,10.3151933339885,-3.20478419083051,0.0015691362491845,0.316646819257215,-2.22818150300429,"ADGRB2"
"62","seq.22980.37",-0.101909215371409,12.6704672441431,-3.03093552710259,0.00275430465484003,0.318493800166819,-2.74528372864829,"HOMER1"
"63","seq.23266.62",0.0360809751364131,7.31411637357006,2.88448289328901,0.0043422073131488,0.323321415687789,-3.16042935136122,"MITD1"
"64","seq.23349.5",0.0475778785440558,10.0348442517775,3.71144966918977,0.000265894973369249,0.242130610124372,-0.574508953795486,"PCYT1A"
"65","seq.23350.66",-0.0918854123901775,10.7320668259774,-3.07107024833349,0.00242398339610303,0.316646819257215,-2.62823419366627,"FAM118B"
"66","seq.23387.18",-0.0240556552341841,16.6317392105728,-2.87172827017355,0.00451412290720383,0.323321415687789,-3.1956898383454,"TIPRL"
"67","seq.23389.28",-0.0536246900260905,13.6727527491748,-2.90716743805164,0.00405115305931713,0.323321415687789,-3.09736186763254,"FAHD2A"
"68","seq.23405.33",0.0194784219749804,7.48143053629471,3.05887875285934,0.00252024241016514,0.316646819257215,-2.66393814229807,"HORMAD2"
"69","seq.23567.37",0.0444514324237492,14.9270864922191,4.02995028225151,7.8775999061357e-05,0.228953165475373,0.573069486924293,"GNAQ"
"70","seq.23702.98",0.0121875267099234,8.04119167876559,2.93328360938954,0.00373822613478874,0.323321415687789,-3.02419122821504,"SHKBP1"
"71","seq.24426.191",-0.0639308487816272,14.5886678390236,-3.40918270977558,0.000785395128085641,0.316646819257215,-1.58701037732993,"CTNNA1"
"72","seq.24432.3",-0.102114921608413,11.2493625501011,-3.0030586966076,0.00300759660138811,0.323321415687789,-2.82575645292337,"GRIPAP1"
"73","seq.24469.10",-0.0619369028676301,11.5773768417603,-3.34256639091391,0.000987676634117304,0.316646819257215,-1.7998797626521,"LPIN1"
"74","seq.25036.10",-0.0861552168614158,10.3312871134426,-2.87106124991467,0.00452328211312658,0.323321415687789,-3.19752987062282,"RANGAP1"
"75","seq.25957.5",0.0548943218222355,10.2985296082864,3.24859990264872,0.00135653705206397,0.316646819257215,-2.09373824770833,"SRY"
"76","seq.2635.61",0.0188759379351733,9.90588184561395,2.88705705332503,0.00430824465600726,0.323321415687789,-3.15329556168254,"LAYN"
"77","seq.3148.49",-0.0132846979078292,10.1398784874614,-2.96952200326021,0.00334061186873495,0.323321415687789,-2.92166579724785,"CXCL2"
"78","seq.3320.49",0.0586070727318651,12.2677848523811,3.12660028609921,0.00202695489659774,0.316646819257215,-2.4639748835317,"IGFBP7"
"79","seq.3389.7",0.0293465404364547,10.2518810356723,3.09855821577561,0.00221925837960642,0.316646819257215,-2.54725866018965,"SERPINA5"
"80","seq.3438.10",0.0519214445984146,8.54817552987748,3.18247329280473,0.00168889725810312,0.316646819257215,-2.29600605163248,"FSTL3"
"81","seq.3481.87",0.0515970411666534,13.0748599120311,3.1993147221015,0.00159774385494617,0.316646819257215,-2.24484817574618,"XPNPEP1"
"82","seq.3820.68",0.0236474447305946,10.0304873737819,2.87470441639264,0.00447346176782597,0.323321415687789,-3.18747508468484,"MAPKAPK2"
"83","seq.3848.14",-0.029947907497302,17.975965456019,-3.09418532515845,0.0022507214427998,0.316646819257215,-2.56018447610355,"GAPDH"
"84","seq.3866.7",0.0400477342728239,12.6070143596588,3.78727486824158,0.000200420267556376,0.228953165475373,-0.308713690820841,"SBDS"
"85","seq.4276.10",-0.0207103571006262,16.7359592014773,-3.1891663166962,0.00165210937838348,0.316646819257215,-2.27570442018879,"PEBP1"
"86","seq.4568.17",-0.0541638408083556,12.181157665095,-3.01582860476563,0.00288902215036536,0.323321415687789,-2.78897760565975,"SLITRK5"
"87","seq.4769.10",-0.0254205761418127,17.2220791745994,-3.26146731997738,0.0012993854388234,0.316646819257215,-2.05394358278726,"OLFM4"
"88","seq.5634.39",0.112552334384581,11.2776470728732,2.95213442219714,0.00352628152746143,0.323321415687789,-2.97100277146335,"POFUT1"
"89","seq.6324.11",0.0374561516611338,11.93489748043,2.86138855768587,0.00465802287064227,0.323321415687789,-3.22416852082152,"DNASE1L2"
"90","seq.6414.8",0.0276753873162598,7.51216823268817,3.81061161309303,0.000183559296140687,0.228953165475373,-0.225970577943876,"OAF"
"91","seq.6940.18",-0.0160546432867093,9.70484460761385,-3.4579256933328,0.00066269154853929,0.316646819257215,-1.42888315355441,"JPH1"
"92","seq.7810.20",0.10904480676189,9.03704666335961,3.15461587639854,0.00185031687817564,0.316646819257215,-2.38008976114663,"C1QTNF5"
"93","seq.7875.86",0.0736896228840927,12.4447175582684,3.05388930851313,0.00256064315891538,0.316646819257215,-2.67851286597224,"PLEK"
"94","seq.8244.16",0.0229498320999995,8.33887295434536,3.09680971044428,0.00223178988392449,0.316646819257215,-2.55242905479791,"FUT8"
"95","seq.8851.42",-0.0498830773558079,12.0187412256613,-3.18556893743339,0.00167178884806954,0.316646819257215,-2.28662097536315,"FAM171B"
"96","seq.8890.9",-0.0719432531341705,13.2266902845749,-2.86794213023795,0.00456633787685325,0.323321415687789,-3.20612899878438,"TMEM132B"
"97","seq.9337.43",-0.0467309753910013,8.31557937041976,-3.39312227187457,0.00083027283084897,0.316646819257215,-1.63867391005921,"TAC1"
"98","seq.9394.19",0.098142084560551,12.4761871016418,2.98946207802505,0.00313875060143447,0.323321415687789,-2.86475937095097,"CPQ"
"99","seq.9738.7",-0.105414742412607,10.3992925160279,-3.01066182455512,0.00293647055901345,0.323321415687789,-2.80387573246821,"FAF2"
"100","seq.9841.197",0.0465996316633642,11.2873678928333,3.16066664398499,0.00181408747626544,0.316646819257215,-2.36188329098843,"PAICS"
