"","unique_names","logFC","AveExpr","t","P.Value","adj.P.Val","B","genes"
"1","seq.10454.99",-0.0143241211448833,8.42639729482871,-2.53096824520458,0.0121657696761114,0.99954516408736,-5.5749652736969,"DNAJC16"
"2","seq.10565.19",-0.00671541487884288,11.0466192552307,-2.56712131614108,0.0110053527867235,0.99954516408736,-5.48535106730323,"SLITRK3"
"3","seq.11126.102",-0.023143086191413,11.1333929624788,-2.84206587828828,0.00495978633418788,0.99954516408736,-4.7652351689114,"TRIO"
"4","seq.11283.13",-0.00310661015247032,8.2865303217083,-2.42371589301547,0.0162769262774501,0.99954516408736,-5.83379885206682,"DCAF5"
"5","seq.11319.106",-0.00892271548847026,9.8231721099755,-2.66673559901232,0.00830352566906524,0.99954516408736,-5.23230086865838,"MRE11"
"6","seq.11557.3",-0.0113144565943717,11.4155835737471,-3.01390629974123,0.00292222210615633,0.99954516408736,-4.28097825226708,"SMURF1"
"7","seq.11934.9",-0.00549259275814947,7.85402929269606,-2.66813208488629,0.00827032539910717,0.99954516408736,-5.22868965126685,"INTS3"
"8","seq.12401.3",-0.0116903622234959,13.7597417422107,-3.01714283813665,0.0028925959850522,0.99954516408736,-4.2716084704245,"STAMBPL1"
"9","seq.12501.10",0.00274477196684951,12.3264264587559,2.37336789131056,0.0186002155605192,0.99954516408736,-5.95166630940525,"TBCA"
"10","seq.12634.79",-0.011069185613193,10.9956864308881,-2.48253616545985,0.0138911245343083,0.99954516408736,-5.69314966692623,"BCAR3"
"11","seq.12702.13",-0.0072949907625725,9.65889925094741,-2.49035658590467,0.0135985677670095,0.99954516408736,-5.6742111832408,"PELI2"
"12","seq.13013.41",-0.00875300176847838,10.2314101276142,-2.5750350860403,0.0107649644788929,0.99954516408736,-5.4655763616221,"PRKN"
"13","seq.13044.5",-0.00767968974490335,12.6768362870092,-2.35652045161351,0.0194404695518198,0.99954516408736,-5.9905858169716,"TSG101"
"14","seq.13122.19",-0.0175739883026942,12.0061274420962,-2.95714577933962,0.0034892745067061,0.99954516408736,-4.44380861694697,"FLRT2"
"15","seq.13123.3",-0.00687450666560263,9.31244446718275,-2.57930432953792,0.0106372450352152,0.99954516408736,-5.45488488678326,"FLRT3"
"16","seq.13240.170",-0.021450417977097,9.00931897821977,-2.79302870335867,0.00574302108590928,0.99954516408736,-4.8986333955701,"SHANK1"
"17","seq.13242.134",-0.0237038437535468,13.3339825720112,-2.69569291798088,0.00763911791169996,0.99954516408736,-5.15705992450913,"SHANK3"
"18","seq.13256.21",-0.010110926783184,12.1095360341201,-2.39749705047373,0.0174525931818357,0.99954516408736,-5.89546963159985,"SHANK1"
"19","seq.13482.14",-0.0185121272072941,11.3579777681146,-3.25290696091495,0.00134658616645481,0.99954516408736,-3.56461901118836,"CNOT1"
"20","seq.13713.164",-0.0093341845578875,9.868615249371,-2.64125495736596,0.00893077947539379,0.99954516408736,-5.29788330864348,"SEC22A"
"21","seq.14291.53",-0.0180634595197061,9.74238517970845,-2.93539257945296,0.00373213712441392,0.99954516408736,-4.50546275711459,"AGAP2"
"22","seq.15318.75",0.0102540076513301,8.92712422975408,2.40312515196812,0.0171940837096463,0.99954516408736,-5.88228473502805,"S100A10"
"23","seq.15365.41",-0.00816184995722154,9.31178135091916,-2.43587256787685,0.0157560178770913,0.99954516408736,-5.80499019586921,"ADGRB3"
"24","seq.15620.4",-0.00893381320075165,10.7356331414756,-2.40158356274391,0.0172645531088864,0.99954516408736,-5.88589909793115,"NLGN1"
"25","seq.16307.22",-0.00634227661511932,9.27831239360335,-2.49710020559951,0.0133507111026732,0.99954516408736,-5.6578354855923,"UNC5D"
"26","seq.16781.2",-0.0134865157051527,8.53778766558503,-2.39345995540391,0.0176401339145611,0.99954516408736,-5.90490934404803,"ENGASE"
"27","seq.17680.12",-0.00950966992360996,8.11698037094692,-2.46736693373646,0.0144746029057817,0.99954516408736,-5.72972510671765,"EPHB1"
"28","seq.18284.77",-0.0130502521093002,10.7497989277133,-2.37580728757115,0.01848124465879,0.99954516408736,-5.94600933644884,"WWC1"
"29","seq.18303.39",-0.00513452930507122,16.9017166369601,-2.62862663594859,0.00925718756202236,0.99954516408736,-5.3301690582195,"NRGN"
"30","seq.18918.86",-0.01926381027075,7.60342127806771,-2.48975802650894,0.0136207640676256,0.99954516408736,-5.67566267231152,"PDE4A"
"31","seq.18925.24",-0.00910857356134333,12.3279492300556,-2.6881204766128,0.00780806015320776,0.99954516408736,-5.17680855932248,"PSMA5"
"32","seq.19229.92",-0.0171144476703829,14.024338458213,-2.56604104532303,0.0110385371952754,0.99954516408736,-5.48804600585772,"HOMER1"
"33","seq.19236.24",-0.0134350988848694,14.3646720467582,-2.48643880405427,0.0137444366537004,0.99954516408736,-5.68370574831087,"SUB1"
"34","seq.19295.32",-0.00569443436717932,15.5074958241945,-2.38045307961585,0.0182565213375739,0.99954516408736,-5.93522055417693,"PPP1CC"
"35","seq.19360.22",-0.0126131358247816,13.1700730933735,-2.37151474865725,0.0186910453395584,0.99954516408736,-5.95596009131724,"LRRTM1"
"36","seq.19558.10",-0.0168546362610464,11.7651759798413,-2.94992203001028,0.0035682679616316,0.99954516408736,-4.46432874037695,"LRP4"
"37","seq.19620.16",-0.00520847555818922,16.5950506128465,-2.5842628517774,0.0104906107892566,0.99954516408736,-5.44244648970965,"DLG2"
"38","seq.20527.47",-0.00892111968635689,8.72042980686279,-2.36552246280532,0.0189874327722924,0.99954516408736,-5.96982271037698,"SEMA5B"
"39","seq.20540.65",-0.00887194947127456,10.4162351749771,-2.44863001367472,0.0152253083321916,0.99954516408736,-5.77461204325452,"SEMA4G"
"40","seq.21385.5",-0.0102519256789095,11.14533649028,-2.4995737035916,0.0132608131395941,0.99954516408736,-5.65181861816382,"SLITRK2"
"41","seq.21727.15",-0.0171735863195827,10.6257911105046,-2.99088677945445,0.00314111792845388,0.99954516408736,-4.34735536408525,"UBE2Q1"
"42","seq.21746.13",-0.00684477984751575,11.6169010443555,-2.43350102837254,0.0158564617420782,0.99954516408736,-5.81062087400346,"USP10"
"43","seq.21765.10",-0.0159571826040858,10.0971314249486,-2.49977187098722,0.0132536342380008,0.99954516408736,-5.6513363275594,"CYLD"
"44","seq.21811.20",-0.0129999271732325,9.92374240787884,-2.36008222183087,0.0192600937284571,0.99954516408736,-5.98237954456788,"ZCCHC17"
"45","seq.21991.79",-0.0298334957207594,10.8730240822094,-2.70213091726097,0.00749808980880377,0.99954516408736,-5.14022932568583,"PPP1R9B"
"46","seq.22034.61",-0.00455559815290514,10.3779266875392,-2.8075856973065,0.00549952310056035,0.99954516408736,-4.85925667147835,"ZBTB16"
"47","seq.22086.2",-0.0103366286742975,8.75695393970868,-2.53240222500593,0.0121177387296865,0.99954516408736,-5.5714334573959,"BRMS1L"
"48","seq.22500.9",0.00412547731107345,9.19101756613358,3.20051595040422,0.00160201588325399,0.99954516408736,-3.72586919452429,"MED11"
"49","seq.22572.19",0.00577773734864984,9.91038420370537,2.70976904292634,0.00733382636481987,0.99954516408736,-5.12021298525197,"PGA4"
"50","seq.22588.35",-0.0171053085816023,10.3171807525899,-2.55535955096382,0.011371511413624,0.99954516408736,-5.51463592460459,"ADGRB2"
"51","seq.23000.22",-0.00578963992782798,8.19452594899573,-2.7563856370792,0.00639992065602119,0.99954516408736,-4.9969160378569,"NLGN1"
"52","seq.23320.11",-0.00825365035494418,13.6908566672248,-2.63020627121952,0.00921577944289006,0.99954516408736,-5.32613842457715,"MVB12B"
"53","seq.23547.21",0.00718129306294543,11.4792184176217,2.49744262895045,0.0133382336234265,0.99954516408736,-5.65700286240823,"TCEA3"
"54","seq.23665.35",-0.0116059116628786,12.1784696617031,-2.67681532080684,0.00806656118637598,0.99954516408736,-5.20619597168562,"PSMC3"
"55","seq.23680.1",-0.00640641213893555,9.42766695409877,-2.36472157772245,0.0190273578492041,0.99954516408736,-5.97167297826943,"ZC3H12A"
"56","seq.2431.17",-0.00292793590914873,9.86901587800999,-2.59295456326648,0.0102379447237388,0.99954516408736,-5.42058962458129,"CTSG"
"57","seq.24425.8",-0.0184416459409606,12.5463926463067,-3.70777942007443,0.000272570037120411,0.99954516408736,-2.06732179381026,"MARS1"
"58","seq.24432.3",-0.0211032777060025,11.2464264556417,-2.83918047022992,0.00500302962472926,0.99954516408736,-4.77314369681983,"GRIPAP1"
"59","seq.24670.1",-0.0119533615815912,11.8061413895732,-2.58180945333915,0.0105629350806945,0.99954516408736,-5.44860360005719,"PIH1D1"
"60","seq.24902.84",-0.00945215842490921,12.8810839663386,-2.69828530148505,0.00758204458634113,0.99954516408736,-5.15028724212192,"GPHN"
"61","seq.24911.57",0.0224201549283864,9.64391634779269,3.30011155583814,0.00114939529495484,0.99954516408736,-3.41732202374151,"MVP"
"62","seq.25036.10",-0.0162461799801117,10.3355538869053,-2.43674019116833,0.0157194118260366,0.99954516408736,-5.80292893355474,"RANGAP1"
"63","seq.25072.11",-0.0095014816235277,8.90091617261198,-2.77898880820147,0.00598710980733548,0.99954516408736,-4.93643236101844,"CHD1L"
"64","seq.25081.6",-0.023076887856832,8.70485876536927,-2.55546754880426,0.0113681003151918,0.99954516408736,-5.51436759971763,"FHIP2A"
"65","seq.25236.11",-0.00504354140697873,13.199946875766,-2.4679528200436,0.0144516688401092,0.99954516408736,-5.72831634997753,"METTL26"
"66","seq.25472.12",-0.00938094899310668,8.30285443044944,-2.59664802506084,0.010132239398811,0.99954516408736,-5.41128101795045,"BEGAIN"
"67","seq.3148.49",-0.00250012983795302,10.1387902548137,-2.51194626395373,0.0128191853735521,0.99954516408736,-5.62163811039998,"CXCL2"
"68","seq.3350.53",-0.00524922864330255,10.1079772664583,-2.45617416084949,0.0149189895539118,0.99954516408736,-5.75657764684419,"CAMK2A"
"69","seq.3448.13",-0.0177427924578757,9.72394917175879,-2.73745327775547,0.00676536883284953,0.99954516408736,-5.04722536198113,"INSR"
"70","seq.3484.60",0.0130385874233594,11.3268056445058,2.64188897453904,0.00891466831577307,0.99954516408736,-5.29625857356223,"AGT"
"71","seq.3823.9",-0.00229759173130947,8.35979897490239,-2.35382814346668,0.0195777992763856,0.99954516408736,-5.99678109113999,"MATK"
"72","seq.4568.17",-0.0117025130715202,12.1793285110431,-2.93549206051884,0.00373099207414503,0.99954516408736,-4.50518175024383,"SLITRK5"
"73","seq.4569.52",-0.00761346305913254,8.75878572603011,-2.7860458560321,0.00586326696168981,0.99954516408736,-4.9174549787444,"SORCS2"
"74","seq.5116.62",-0.00607831109534712,11.3659610965399,-2.42413841412132,0.0162585686986516,0.99954516408736,-5.83279984530754,"ROBO2"
"75","seq.5259.2",-0.0117996540609723,9.94440105450268,-2.43448868786491,0.0158145617956459,0.99954516408736,-5.80827652948853,"TAB1|MAP3K7"
"76","seq.5357.60",-0.0143672037124605,11.7725409413188,-2.39405856860055,0.0176122137913211,0.99954516408736,-5.90351058752833,"NLGN4X"
"77","seq.5837.49",-0.0112319439612702,10.0792002744297,-2.74843051903954,0.00655123951956996,0.99954516408736,-5.01809441070584,"LIFR"
"78","seq.6372.7",0.00854441929978461,11.9326845152097,2.54876156671313,0.0115816526371804,0.99954516408736,-5.53100875984814,"YBX2"
"79","seq.6570.1",-0.00738689423107913,8.61949232243652,-2.46129222197855,0.0147143056288551,0.99954516408736,-5.74431316012212,"COL13A1"
"80","seq.6649.51",-0.00358528105390288,8.75055226709217,-2.48965844962433,0.0136244597917204,0.99954516408736,-5.67590411159063,"NTN1"
"81","seq.6904.14",-0.0122354950276383,13.4305272802479,-2.58941111416276,0.0103402854204096,0.99954516408736,-5.42950853275989,"LRRTM2"
"82","seq.6998.106",0.00505333822151959,10.3210784130492,2.65487533410819,0.00859037330589189,0.99954516408736,-5.26289984545129,"ASPH"
